num_tasks,burst_mean,burst_std,arrival_mean,arrival_std,burst_min,burst_max,arrival_min,arrival_max,priority_mean,priority_std,best_algo
3,6.333333333333333,4.784233364802441,4.0,2.449489742783178,2,13,1,7,2.3333333333333335,1.247219128924647,0
13,11.615384615384615,5.270213271680197,3.5384615384615383,2.872023800399149,2,19,0,8,2.1538461538461537,1.2307692307692306,0
14,8.285714285714286,6.1228911404962405,3.4285714285714284,2.7701027756664733,1,18,0,9,2.857142857142857,1.5971914124998499,0
14,7.571428571428571,4.6707950640776605,3.5714285714285716,1.9897697538834458,1,15,1,8,3.2142857142857144,1.2637004294967236,0
15,10.733333333333333,5.144144459696114,4.0,2.804757862395017,2,18,0,9,2.1333333333333333,1.3097921802925665,0
11,10.545454545454545,5.516316893192024,5.090909090909091,2.8429992311112526,2,19,0,9,2.1818181818181817,1.1134044285378082,0
8,9.25,4.408798022137099,5.5,3.082207001484488,4,18,0,9,2.25,1.3919410907075054,0
10,10.8,6.161168720299744,4.4,3.352610922848042,1,18,0,9,3.2,1.6613247725836149,0
4,8.5,5.852349955359813,6.5,0.8660254037844386,1,17,6,8,2.25,0.82915619758885,0
9,11.88888888888889,6.0082248153758995,3.7777777777777777,3.083208205669246,3,19,0,7,2.7777777777777777,1.3966450099973926,0
13,6.3076923076923075,4.374482217880902,3.076923076923077,2.8679002895857306,1,14,0,8,2.5384615384615383,1.3931361750980642,0
12,8.333333333333334,5.527707983925667,3.4166666666666665,2.2530843057659626,1,16,0,8,2.8333333333333335,1.4043582955293932,0
9,11.333333333333334,6.182412330330469,3.4444444444444446,2.7532248207475263,1,19,0,9,3.0,1.4142135623730951,0
10,4.9,4.109744517606903,3.8,2.4413111231467406,1,13,0,7,3.2,1.4000000000000001,0
8,9.875,4.675401052316261,3.875,2.8034576865007255,2,16,1,9,2.75,1.3919410907075054,0
7,10.571428571428571,5.653245410688394,5.428571428571429,2.920721185751553,1,17,1,9,2.857142857142857,1.5518257844571737,0
3,7.0,4.320493798938574,3.6666666666666665,3.8586123009300755,1,11,0,9,4.0,1.4142135623730951,0
6,9.166666666666666,5.639641438562877,4.666666666666667,3.39934634239519,2,19,0,9,2.6666666666666665,1.247219128924647,0
3,9.666666666666666,4.4969125210773475,1.3333333333333333,1.247219128924647,6,16,0,3,3.3333333333333335,1.247219128924647,0
4,8.0,6.96419413859206,3.75,1.920286436967152,1,18,1,6,3.5,1.5,0
8,9.625,4.846067993745032,3.5,3.2015621187164243,1,16,0,9,2.5,0.8660254037844386,0
10,11.9,4.109744517606903,3.4,2.8000000000000003,5,17,0,7,2.2,1.077032961426901,0
13,8.538461538461538,5.759478937641504,4.230769230769231,2.8596354300678626,2,19,0,9,3.076923076923077,1.4915938022819473,0
6,10.0,3.696845502136472,4.333333333333333,1.4907119849998596,4,14,2,6,3.1666666666666665,0.6871842709362768,0
14,9.142857142857142,5.262497273255389,5.428571428571429,2.993189548536709,1,19,0,9,2.357142857142857,1.171515676204052,0
11,9.909090909090908,5.712101117238184,6.0,2.256304299271065,1,19,3,9,4.0,1.2792042981336627,0
14,7.571428571428571,5.02443011287685,3.0714285714285716,3.2615571590945356,1,16,0,9,2.5714285714285716,1.2936264483053452,0
7,13.0,4.4077853201547175,3.857142857142857,2.6954231805876008,7,19,0,9,3.142857142857143,1.2453996981544782,0
9,10.555555555555555,6.849348892187751,4.888888888888889,3.3811386788228748,1,19,1,9,3.4444444444444446,1.640535895581489,0
6,8.833333333333334,6.413960468297953,4.666666666666667,3.144660377352201,1,18,0,8,2.0,1.1547005383792515,0
11,10.272727272727273,5.674358739755358,4.545454545454546,2.934547707557995,1,18,0,9,3.090909090909091,1.7296634173127678,0
3,12.666666666666666,5.436502143433364,5.666666666666667,3.39934634239519,5,17,1,9,2.6666666666666665,1.699673171197595,0
4,13.75,3.766629793329841,3.0,2.5495097567963922,8,18,0,6,3.0,1.4142135623730951,0
5,13.6,3.006659275674582,5.4,2.939387691339814,10,18,1,9,2.8,0.9797958971132712,0
15,10.6,6.529931086925803,4.333333333333333,3.3796778281697537,1,19,0,9,3.6666666666666665,1.4452988925785866,0
15,8.933333333333334,5.3099487337973,5.0,2.6832815729997477,2,19,0,9,3.4,1.3063945294843617,0
12,12.166666666666666,4.4503433076062295,5.0,2.449489742783178,3,19,1,9,2.75,1.299038105676658,0
6,9.0,5.228129047119374,3.5,2.753785273643051,4,17,0,8,2.8333333333333335,1.4624940645653537,0
9,12.444444444444445,5.079613089183316,4.777777777777778,3.0469576001782417,4,19,1,9,3.111111111111111,1.0999438818457405,0
7,12.857142857142858,5.865847190756517,5.428571428571429,2.8713930346059686,2,19,0,9,1.8571428571428572,0.989743318610787,0
11,9.181818181818182,5.440892002707274,6.2727272727272725,2.2193737483152187,1,18,2,9,2.727272727272727,1.2128785512842122,0
13,7.461538461538462,4.765507231302628,4.230769230769231,3.117046090669971,2,16,0,9,2.923076923076923,1.2064913185660093,0
9,6.444444444444445,3.235604395235786,5.0,2.1081851067789197,1,11,2,8,2.7777777777777777,1.0304020550550783,0
12,13.083333333333334,4.34853104188325,6.0,3.4641016151377544,5,18,0,9,3.4166666666666665,1.2555432644432805,0
5,6.8,1.7204650534085253,6.8,2.4819347291981715,4,9,2,9,4.2,0.7483314773547882,0
6,12.0,5.0990195135927845,5.666666666666667,2.9814239699997196,3,17,0,9,2.8333333333333335,1.3437096247164249,0
15,12.933333333333334,4.767482447674966,4.733333333333333,3.1084115271666044,1,19,0,9,2.2,1.2220201853215573,0
5,12.4,5.782732917920384,4.6,3.006659275674582,2,19,1,8,3.0,1.6733200530681511,0
4,10.75,5.448623679425842,3.0,3.082207001484488,2,17,0,8,2.25,1.299038105676658,0
15,10.666666666666666,6.569288816573341,5.533333333333333,2.55255862921022,1,19,2,9,3.3333333333333335,1.2995725793078619,0
13,8.615384615384615,5.484782606146427,4.153846153846154,2.9831876045638945,2,19,0,9,3.1538461538461537,1.4058205294228512,0
13,9.384615384615385,5.211502980293638,4.384615384615385,2.923076923076923,2,19,0,9,2.3076923076923075,1.3234346564680963,0
5,11.2,4.915282290977803,4.4,1.0198039027185568,4,19,3,6,3.2,1.32664991614216,0
12,9.5,5.090841449767088,3.8333333333333335,2.733536577809454,1,17,0,8,3.5,1.2583057392117916,0
8,8.5,5.07444578254611,5.375,3.1598061649411346,4,19,1,9,2.875,1.2686114456365274,0
10,9.9,4.7,4.4,3.1368774282716245,2,16,0,9,3.1,1.374772708486752,0
14,8.285714285714286,5.020366683087308,4.857142857142857,2.899683304312063,1,18,0,9,2.7857142857142856,1.5202711895566259,0
15,10.6,4.923413450036469,3.4,2.9393876913398143,1,19,0,8,2.933333333333333,1.4360439485692011,0
15,11.733333333333333,4.59661711358352,5.8,3.0594117081556713,1,18,0,9,2.7333333333333334,1.3888444437333105,0
